City/Town,Ward,Pct,"Alice Miller","Ken Coonradt",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bennington,,,10,7,0,0,17
Shaftsbury,,,"1,094","1,001",1,0,"2,096"
TOTALS,,,"1,104","1,008",1,0,"2,113"
