City/Town,Ward,Pct,"Steve Larrabee",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Cabot,,,463,44,0,507
Danville,,,"1,038",18,0,"1,056"
Peacham,,,319,17,0,336
TOTALS,,,"1,820",79,0,"1,899"
