City/Town,Ward,Pct,"Carroll F. Ketchum","Ola O'Dell","Larry Curtis",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Libertarian
Bethel,,,579,333,38,2,0,952
Pittsfield,,,136,89,24,1,0,250
Rochester,,,251,174,214,1,0,640
Stockbridge,,,187,138,31,0,0,356
TOTALS,,,"1,153",734,307,4,0,"2,198"
