City/Town,Ward,Pct,"George Schiavone","Elizabeth Skarie","Fred Greer",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Independent,"Vermont Grassroots"
Shelburne,,,628,413,24,0,0,"1,065"
"St. George",,,177,136,0,0,0,313
Williston,,,443,321,35,0,0,799
TOTALS,,,"1,248",870,59,0,0,"2,177"
