City/Town,Ward,Pct,"John V. Labarge","Mitzi Johnson",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Grand Isle",,,651,418,1,0,"1,070"
"Isle La Motte",,,166,107,0,0,273
"N. Hero",,,306,147,1,0,454
"S. Hero",,,596,451,1,0,"1,048"
TOTALS,,,"1,719","1,123",3,0,"2,845"
