City/Town,Ward,Pct,"Kinny Connell","Bruce Hyde",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Fayston,,,325,362,1,0,688
Granville,,,89,63,1,0,153
Waitsfield,,,536,459,5,0,"1,000"
Warren,,,565,374,3,0,942
TOTALS,,,"1,515","1,258",10,0,"2,783"
