City/Town,Ward,Pct,"Ed Paquin","John Jay M. Rousseau","Edward R. Nuttall",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent
Fairfax,,,737,501,410,2,0,"1,650"
Fletcher,,,286,185,68,2,0,541
TOTALS,,,"1,023",686,478,4,0,"2,191"
