City/Town,Ward,Pct,"Robert H. Wood, Jr","Peg Flory",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Brandon,,,"1,482","1,179",27,0,"2,688"
Pittsford,,,980,"1,138",24,0,"2,142"
TOTALS,,,"2,462","2,317",51,0,"4,830"
