City/Town,Ward,Pct,"Douglas A. Racine","Brian E. Dubie","Tom Beer","Jane Newton","Don O'Donnell",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Vermont Grassroots","Liberty Union",Libertarian
"W. Fairlee",,,151,118,13,4,7,0,0,293
"W. Haven",,,54,71,12,4,1,0,0,142
"W. Rutland",,,538,476,32,10,10,0,0,"1,066"
"W. Windsor",,,313,249,22,5,5,0,0,594
Westfield,,,114,134,13,2,4,1,0,268
Westford,,,543,424,17,3,3,0,0,990
Westminster,,,946,417,69,41,16,1,0,"1,490"
Westmore,,,93,132,7,1,2,0,0,235
Weston,,,166,135,12,35,2,0,0,350
Weybridge,,,332,160,11,1,1,0,0,505
Wheelock,,,122,142,10,6,5,0,0,285
Whiting,,,128,60,7,0,1,0,0,196
Whitingham,,,180,371,25,5,7,0,0,588
Williamstown,,,540,929,33,4,20,1,0,"1,527"
Williston,-,"Chittenden 5-1",424,364,15,1,3,0,0,807
Williston,-,"Chittenden 5-2","1,798","1,637",42,10,18,0,0,"3,505"
Wilmington,,,427,577,42,25,17,1,0,"1,089"
Windham,,,70,77,9,23,6,0,0,185
Windsor,,,996,482,75,19,24,0,0,"1,596"
Winhall,,,152,224,17,19,6,1,0,419
Winooski,-,Armory,619,371,15,5,5,1,0,"1,016"
Winooski,-,"St. Francis",915,497,29,6,16,3,0,"1,466"
Wolcott,,,317,254,31,3,9,1,0,615
Woodbury,,,250,183,15,2,10,0,0,460
Woodford,,,84,65,7,10,4,0,0,170
Woodstock,,,984,724,61,28,22,1,0,"1,820"
Worcester,,,295,192,21,3,13,0,0,524
TOTALS,,,"152,561","118,202","8,776","3,195","3,067",272,0,"286,073"
