City/Town,Ward,Pct,"Bob Weeks","Joyce Barbieri",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Mount Holly",,,360,289,0,0,649
"Mount Tabor",,,60,40,0,0,100
Tinmouth,,,153,123,0,0,276
Wallingford,,,651,490,9,0,"1,150"
TOTALS,,,"1,224",942,9,0,"2,175"
