City/Town,Ward,Pct,"David Brown",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Hardwick,,,"1,030",91,0,"1,121"
Stannard,,,73,21,0,94
Walden,,,370,28,0,398
TOTALS,,,"1,473",140,0,"1,613"
