City/Town,Ward,Pct,"Steve Darrow","David L. Deen","Roger W. Ballou","Lew Young",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Athens,,,39,38,71,65,1,0,214
Dummerston,,,685,493,340,298,2,0,"1,818"
Putney,,,844,774,226,258,3,0,"2,105"
Westminster,,,854,960,436,402,4,0,"2,656"
TOTALS,,,"2,422","2,265","1,073","1,023",10,0,"6,793"
