City/Town,Ward,Pct,"Robert Helm","David Rogers","Janice Jan Rousse","Robert J. Richards",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic
Castleton,,,"1,096","1,000",671,350,4,0,"3,121"
"Fair Haven",,,807,587,389,306,5,0,"2,094"
"W. Haven",,,104,84,41,36,0,0,265
TOTALS,,,"2,007","1,671","1,101",692,9,0,"5,480"
