City/Town,Ward,Pct,"Neil M. Hoag","Gabrielle C. Davis",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Independent
Bennington,,,660,155,0,0,815
Readsboro,,,260,64,2,0,326
Stamford,,,363,50,1,0,414
Woodford,,,122,52,1,0,175
TOTALS,,,"1,405",321,4,0,"1,730"
