City/Town,Ward,Pct,"Richard Dick C. Pembroke, Sr","Jim Colvin",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Democratic/Republican
Bennington,-,"Bennington 2-1","1,687","1,492",37,0,"3,216"
Bennington,-,"Bennington 2-1 Nb",427,352,8,0,787
TOTALS,,,"2,114","1,844",45,0,"4,003"
