City/Town,Ward,Pct,"Avis Gervais","Joe Larose","Albert J. Perry","David A. Baker",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Democratic,Libertarian
Bakersfield,,,369,184,263,167,4,0,987
Berkshire,,,425,312,222,56,6,0,"1,021"
Enosburgh,,,909,426,500,155,13,0,"2,003"
Richford,,,669,622,482,106,16,0,"1,895"
TOTALS,,,"2,372","1,544","1,467",484,39,0,"5,906"
