City/Town,Ward,Pct,"Ann Seibert","Bill Mackinnon","Brian Kenyon","G. Lester Corwin, III",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Norwich,,,"1,653","1,522",396,329,3,0,"3,903"
Royalton,,,442,513,716,599,10,0,"2,280"
Sharon,,,288,324,361,231,2,0,"1,206"
Strafford,,,347,364,225,132,2,0,"1,070"
TOTALS,,,"2,730","2,723","1,698","1,291",17,0,"8,459"
