City/Town,Ward,Pct,"Richard C. Marron","Cathy Voyer","Larry Droney",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican/Democratic,Republican/Democratic,Independent
Morristown,,,"1,271","1,281",853,67,0,"3,472"
Stowe,,,"2,036","1,640",443,13,0,"4,132"
TOTALS,,,"3,307","2,921","1,296",80,0,"7,604"
