City/Town,Ward,Pct,"Janice L. Peaslee","Judith L. Howland",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Independent
Bloomfield,,,86,14,0,0,100
Brunswick,,,39,9,0,0,48
Concord,,,293,174,2,0,469
Granby,,,39,11,0,0,50
Guildhall,,,90,47,2,0,139
Kirby,,,133,90,0,0,223
Lemington,,,47,12,0,0,59
Lunenburg,-,"Comm. Hall",298,100,1,0,399
Lunenburg,-,Gilman,113,31,1,0,145
Maidstone,,,51,17,0,0,68
Victory,,,37,24,0,0,61
TOTALS,,,"1,226",529,6,0,"1,761"
