City/Town,Ward,Pct,"Mark S. Young","John Fedor",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Independent
Benson,,,308,129,2,0,439
Hubbardton,,,209,83,2,0,294
Orwell,,,461,154,0,0,615
Shoreham,,,444,146,1,0,591
TOTALS,,,"1,422",512,5,0,"1,939"
