City/Town,Ward,Pct,"William F. Johnson","Ken Gordon",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Brighton,,,327,319,2,0,648
Canaan,,,303,124,0,0,427
"E. Haven",,,67,77,0,0,144
Newark,,,104,158,0,0,262
Norton,,,66,17,0,0,83
TOTALS,,,867,695,2,0,"1,564"
