City/Town,Ward,Pct,"Leigh B. Larocque","Robert Larabee",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Barnet,,,557,321,1,0,879
Ryegate,,,362,196,5,0,563
Waterford,,,489,164,0,0,653
TOTALS,,,"1,408",681,6,0,"2,095"
