City/Town,Ward,Pct,"Jason Barney","Susan Nadeau",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Franklin,,,372,179,1,0,552
Highgate,,,856,390,5,0,"1,251"
TOTALS,,,"1,228",569,6,0,"1,803"
