City/Town,Ward,Pct,"David Zuckerman","Bob Kiss",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive,Progressive
Burlington,-,"Chittenden 7-3 Ward 1","1,674","1,401",126,0,"3,201"
Burlington,-,"Chittenden 7-3 Ward 2",97,70,4,0,171
Burlington,-,"Chittenden 7-3 Ward 6",319,259,4,0,582
TOTALS,,,"2,090","1,730",134,0,"3,954"
