City/Town,Ward,Pct,"Cheryl M. Hooker","Carl J. Haas","Jerry Kreitzer","Melissa Hayden","Joe Tilden",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Democratic,Republican,Independent
"Rutland City",-,"Rutland 6-3 Ward 3a",600,612,562,424,318,5,0,"2,521"
"Rutland City",-,"Rutland 6-3 Ward 3b",439,382,425,305,195,2,0,"1,748"
TOTALS,,,"1,039",994,987,729,513,7,0,"4,269"
