City/Town,Ward,Pct,"Harvey B. Otterman, Jr","Al Stevens","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,"Liberty Union"
Groton,,,334,135,8,0,0,477
Newbury,-,"Center Town House",135,81,9,0,0,225
Newbury,-,"Town Office",233,258,25,0,0,516
Newbury,-,"West River Village",163,132,10,2,0,307
Topsham,,,465,160,13,0,0,638
TOTALS,,,"1,330",766,65,2,0,"2,163"
