City/Town,Ward,Pct,"Elaine Alfano","Donny Osman","Elliott A. Morse","John M. Sanfacon","Ray Gadreault",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican,"Take Back Vermont"
Calais,,,566,487,415,290,33,0,0,"1,791"
"E. Montpelier",,,674,669,808,648,46,0,0,"2,845"
Marshfield,,,366,386,399,342,41,2,0,"1,536"
Plainfield,,,426,475,282,247,34,1,0,"1,465"
Woodbury,,,200,193,201,180,63,0,0,837
TOTALS,,,"2,232","2,210","2,105","1,707",217,3,0,"8,474"
