City/Town,Ward,Pct,"Mark Larson","Steven A. Ciardelli",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Burlington,-,"Chittenden 7-5 Ward 3",67,22,3,0,92
Burlington,-,"Chittenden 7-5 Ward 4",253,197,6,0,456
Burlington,-,"Chittenden 7-5 Ward 7",700,623,11,0,"1,334"
TOTALS,,,"1,020",842,20,0,"1,882"
