City/Town,Ward,Pct,"Kurt Wright","Bill Aswad","Matt Gardy","Dennis McBee",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Republican,Democratic
Burlington,-,"Chittenden 7-6 Ward 4","1,199","1,225",881,852,7,0,"4,164"
Burlington,-,"Chittenden 7-6 Ward 7",664,626,551,497,5,0,"2,343"
TOTALS,,,"1,863","1,851","1,432","1,349",12,0,"6,507"
