City/Town,Ward,Pct,"Martha Heath","Thomas Tom E. James",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Essex,,,235,233,5,0,473
Milton,,,217,247,11,0,475
Westford,,,585,394,3,0,982
TOTALS,,,"1,037",874,19,0,"1,930"
