City/Town,Ward,Pct,"Al Gore","George Bush","Ralph Nader","Pat Buchanan","Denny Lane","Harry Browne","John Hagelin","David McReynolds","Howard Phillips","James Harris",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Progressive/Green,"Vermont Localist","Vermont Grassroots",Libertarian,"Natural Law","Liberty Union",Constitution,"Socialist Workers"
Colchester,-,"Chittenden 1-2","1,528","1,212",121,19,4,2,1,0,0,0,8,0,0,"2,895"
Colchester,-,"Chittenden 1-3",13,2,13,0,0,0,0,0,0,0,0,0,0,28
Concord,,,176,268,23,3,4,3,0,0,0,0,1,0,0,478
Corinth,,,341,356,36,6,2,4,1,0,0,0,2,0,0,748
Cornwall,,,397,240,42,1,3,4,2,0,1,0,1,0,0,691
Coventry,,,164,186,16,9,2,2,0,0,3,0,1,0,0,383
Craftsbury,,,328,223,62,4,3,3,0,0,0,0,2,0,0,625
Danby,,,226,353,41,2,7,2,0,1,0,0,1,0,0,633
Danville,,,500,636,58,5,4,3,0,0,0,0,1,0,0,"1,207"
Derby,,,"1,028","1,012",75,38,9,6,1,0,0,0,7,0,0,"2,176"
Dorset,,,521,567,69,5,0,4,0,0,0,0,0,0,0,"1,166"
Dover,,,318,318,47,2,1,2,0,0,0,0,1,0,0,689
Dummerston,,,570,341,106,6,2,3,0,10,0,0,1,0,0,"1,039"
Duxbury,,,343,232,50,7,2,2,0,0,0,0,1,0,0,637
"E. Haven",,,53,77,11,0,2,2,1,0,0,0,3,0,0,149
"E. Montpelier",,,790,597,112,10,5,3,0,0,0,1,2,0,0,"1,520"
Eden,,,189,248,32,6,6,0,0,0,0,0,0,0,0,481
Elmore,,,215,174,47,1,1,1,0,0,0,0,1,0,0,440
Enosburgh,,,560,481,69,15,9,2,1,1,0,1,2,0,0,"1,141"
Essex,-,"Chittenden 2-1","2,323","2,271",238,19,10,15,4,0,2,0,12,0,0,"4,894"
Essex,-,"Chittenden 2-3",224,223,44,7,0,1,1,0,0,0,2,0,0,502
Essex,-,"Chittenden 2-4","2,085","1,850",208,21,11,16,1,0,2,0,13,0,0,"4,207"
"Fair Haven",,,536,540,63,8,6,2,1,0,0,0,0,0,0,"1,156"
Fairfax,,,767,793,72,27,11,5,0,0,1,1,3,0,0,"1,680"
Fairfield,,,457,340,47,13,5,2,1,0,0,1,1,0,0,867
Fairlee,,,289,257,32,0,0,1,0,0,0,0,0,0,0,579
Fayston,,,405,236,67,3,7,0,0,0,1,0,0,0,0,719
Ferrisburgh,,,597,681,83,7,5,8,1,0,3,1,2,0,0,"1,388"
Fletcher,,,253,234,42,7,4,6,1,0,0,0,0,0,0,547
Franklin,,,238,285,22,10,2,0,0,0,3,0,0,0,0,560
Georgia,,,841,"1,017",82,20,6,7,4,1,0,1,3,0,0,"1,982"
Glover,,,259,254,42,9,5,1,0,0,1,1,1,0,0,573
Goshen,,,60,52,14,0,0,0,1,0,0,0,0,0,0,127
Grafton,,,187,153,18,0,2,2,0,1,0,0,0,0,0,363
Granby,,,11,37,6,0,0,0,0,0,0,0,0,0,0,54
"Grand Isle",,,562,417,57,13,6,5,0,0,2,0,4,0,0,"1,066"
Granville,,,81,56,22,1,1,0,0,0,0,0,0,0,0,161
Greensboro,,,193,169,56,2,1,6,0,0,0,0,0,0,0,427
Groton,,,169,305,0,1,0,0,0,0,0,0,1,0,0,476
Guildhall,,,45,84,10,0,0,1,0,0,0,0,0,0,0,140
Guilford,,,515,324,172,5,3,4,0,1,0,0,3,0,0,"1,027"
Halifax,,,205,188,26,3,1,0,0,0,0,0,0,0,0,423
Hancock,,,84,80,14,2,2,0,0,0,0,0,1,0,0,183
Hardwick,,,660,544,84,12,5,2,0,0,0,0,1,0,0,"1,308"
Hartford,-,"Windsor 2-1",508,546,60,5,2,3,0,1,1,0,4,0,0,"1,130"
Hartford,-,"Windsor 2-2","1,954","1,411",151,19,6,7,2,2,7,0,13,0,0,"3,572"
Hartland,,,764,759,104,40,6,5,0,0,4,0,4,0,0,"1,686"
Highgate,,,610,577,34,19,5,2,2,0,0,0,2,0,0,"1,251"
Hinesburg,,,"1,235",773,176,14,3,5,3,0,1,0,1,0,0,"2,211"
Holland,,,130,141,9,6,3,1,0,0,1,0,2,0,0,293
Hubbardton,,,145,137,18,0,1,0,0,0,0,0,0,0,0,301
Huntington,,,531,334,106,5,4,4,1,0,0,0,2,0,0,987
"Hyde Park",,,768,567,57,21,8,4,0,0,1,0,4,0,0,"1,430"
Ira,,,91,112,11,1,0,0,0,0,0,0,12,0,0,227
Irasburg,,,230,323,10,7,1,0,0,0,0,0,0,0,0,571
"Isle La Motte",,,149,112,7,4,0,0,0,1,0,1,0,0,0,274
Jamaica,,,219,178,35,2,2,1,5,6,0,0,0,0,0,448
Jay,,,101,88,7,2,1,0,1,0,0,0,1,0,0,201
Jericho,,,"1,469","1,145",173,12,6,5,0,0,2,0,6,0,0,"2,818"
Johnson,,,713,507,217,19,9,1,0,1,3,0,2,0,0,"1,472"
Kirby,,,107,100,19,2,0,0,0,0,0,0,0,0,0,228
Landgrove,,,42,45,17,0,0,0,0,0,0,0,0,0,0,104
Leicester,,,224,242,10,3,2,2,0,0,0,0,1,0,0,484
Lemington,,,17,41,1,0,0,0,0,0,0,0,0,0,0,59
Lincoln,,,369,223,83,12,2,1,0,0,1,0,2,0,0,693
Londonderry,,,397,418,69,1,2,1,2,1,0,0,5,0,0,896
Lowell,,,139,161,17,3,1,3,0,0,1,0,0,0,0,325
Ludlow,,,593,565,69,2,8,4,0,0,0,1,3,0,0,"1,245"
Lunenburg,-,"Comm. Hall",134,252,15,5,0,1,0,0,0,0,3,0,0,410
Lunenburg,-,Gilman,76,68,4,0,1,0,0,0,0,0,0,0,0,149
Lyndon,,,922,"1,136",97,16,6,9,1,0,3,1,8,0,0,"2,199"
Maidstone,,,24,42,1,0,0,1,0,0,0,0,0,0,0,68
Manchester,,,975,"1,081",115,6,2,4,0,1,0,0,2,0,0,"2,186"
Marlboro,,,303,111,158,2,0,0,1,0,0,2,1,0,0,578
Marshfield,,,384,323,103,7,3,4,0,1,0,1,3,0,0,829
Mendon,,,239,322,20,4,0,1,0,0,0,0,0,0,0,586
Middlebury,-,"Addison 4-1",11,3,4,0,0,0,0,0,0,0,0,0,0,18
Middlebury,-,"Addison 4-2","2,084","1,064",264,22,9,7,0,0,1,0,3,0,0,"3,454"
Middlesex,,,549,312,113,17,6,0,1,1,0,0,2,0,0,"1,001"
"Middletown Springs",,,227,201,35,2,2,1,0,0,0,0,0,0,0,468
Milton,-,"Chittenden 2-2","1,636","1,728",113,38,7,4,1,0,1,0,6,0,0,"3,534"
Milton,-,"Chittenden 2-3",228,243,19,5,1,1,0,1,0,0,0,0,0,498
Monkton,,,530,335,89,9,0,2,3,0,0,0,1,0,0,969
Montgomery,,,247,215,42,4,0,3,0,5,0,0,3,0,0,519
Montpelier,-,"Washington 5","2,453","1,192",541,19,11,16,1,1,1,1,7,0,0,"4,243"
Montpelier,-,"Washington-Lamoille 1-1",123,73,32,1,0,1,0,0,0,0,0,0,0,230
Moretown,,,504,357,75,5,5,2,1,0,0,0,1,0,0,950
Morgan,,,137,186,17,6,0,0,1,0,0,0,2,0,0,349
Morristown,,,"1,182",898,140,27,12,7,3,0,1,0,2,0,0,"2,272"
"Mount Holly",,,318,291,44,6,3,1,0,0,0,0,0,0,0,663
"Mount Tabor",,,46,46,6,2,0,1,0,0,0,0,0,0,0,101
"New Haven",,,457,386,56,12,3,2,1,0,0,0,1,0,0,918
Newark,,,116,115,28,6,3,1,0,0,0,0,1,0,0,270
Newbury,-,"Center Town House",75,136,14,0,2,0,0,0,0,0,0,0,0,227
Newbury,-,"Town Office",244,234,31,3,1,0,0,1,0,0,3,0,0,517
Newbury,-,"West River Village",113,176,13,2,1,0,0,0,0,0,2,0,0,307
Newfane,,,539,292,140,3,2,2,5,2,0,0,2,0,0,987
"Newport City",,,843,864,64,15,4,1,2,0,5,0,3,0,0,"1,801"
"Newport Town",,,308,353,12,7,3,0,0,0,1,0,1,0,0,685
"N. Hero",,,193,244,26,0,0,0,0,0,0,0,0,0,0,463
Northfield,,,"1,130",988,137,24,17,4,3,1,7,1,3,0,0,"2,315"
Norton,,,31,48,2,3,0,0,0,0,0,0,0,0,0,84
Norwich,,,"1,567",424,163,4,2,5,1,1,0,0,7,0,0,"2,174"
Orange,,,180,309,24,3,3,0,0,0,0,0,0,0,0,519
Orwell,,,267,315,21,7,2,1,0,7,0,0,0,0,0,620
Panton,,,148,165,15,5,1,0,0,0,3,0,1,0,0,338
Pawlet,,,273,365,42,3,5,5,0,1,0,1,0,0,0,695
Peacham,,,229,187,21,0,1,2,0,0,0,0,0,0,0,440
Peru,,,106,87,14,0,0,0,0,0,0,0,1,0,0,208
Pittsfield,,,107,129,19,2,1,0,0,0,0,0,3,0,0,261
Pittsford,,,650,668,50,12,3,5,0,0,1,0,2,0,0,"1,391"
Plainfield,,,374,241,163,7,6,2,3,0,1,0,1,0,0,798
Plymouth,,,144,155,36,1,2,1,0,0,1,0,1,0,0,341
Pomfret,,,315,228,43,1,0,0,1,0,0,0,1,0,0,589
Poultney,,,724,714,94,9,8,5,2,0,1,0,2,0,0,"1,559"
Pownal,,,773,601,80,6,7,4,3,1,0,0,1,0,0,"1,476"
Proctor,,,476,379,23,6,7,4,1,0,1,1,0,0,0,898
Putney,,,768,246,198,2,0,2,2,2,0,1,1,0,0,"1,222"
Randolph,,,"1,062",991,155,16,14,15,0,1,2,0,5,0,0,"2,261"
Reading,,,199,146,31,1,2,4,0,0,0,0,0,0,0,383
Readsboro,,,173,155,20,3,2,1,0,0,0,0,0,0,0,354
Richford,,,593,460,38,20,17,0,0,0,0,0,0,0,0,"1,128"
Richmond,,,"1,165",825,159,11,7,3,3,0,1,2,4,0,0,"2,180"
Ripton,,,174,90,36,2,1,2,0,0,0,0,0,0,0,305
Rochester,,,307,251,84,3,5,5,1,0,0,0,0,0,0,656
Rockingham,,,"1,308",747,187,29,7,8,0,1,1,2,1,0,0,"2,291"
Roxbury,,,167,129,29,5,7,0,2,3,1,0,0,0,0,343
Royalton,,,546,601,119,48,5,2,1,0,0,0,1,0,0,"1,323"
Rupert,,,181,214,26,2,3,1,0,0,0,0,0,0,0,427
"Rutland City",-,"Rutland 6-1 Ward 1",994,865,64,10,5,2,5,0,1,0,3,0,0,"1,949"
"Rutland City",-,"Rutland 6-2 Ward 2",824,586,50,6,6,2,0,0,0,1,3,0,0,"1,478"
"Rutland City",-,"Rutland 6-3 Ward 3a",733,530,62,16,4,6,5,0,0,1,5,0,0,"1,362"
"Rutland City",-,"Rutland 6-3 Ward 3b",523,380,35,6,5,4,1,0,0,1,1,0,0,956
"Rutland City",-,"Rutland 6-4 Ward 4",842,642,86,7,3,3,2,1,0,1,2,0,0,"1,589"
"Rutland Town",,,976,"1,244",75,10,5,0,1,0,2,0,1,0,0,"2,314"
Ryegate,,,225,310,32,3,1,0,0,1,2,0,1,0,0,575
