City/Town,Ward,Pct,"Erron J. Carey","Leo F. Graham",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Andover,,,185,83,0,0,268
Baltimore,,,79,26,0,0,105
Chester,,,965,522,3,0,"1,490"
Weston,,,188,160,0,0,348
TOTALS,,,"1,417",791,3,0,"2,211"
