City/Town,Ward,Pct,"Michael Fisher","James S. Schlesinger","Tony Dominick",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent
Lincoln,,,426,170,91,0,0,687
Monkton,,,388,386,180,1,0,955
Starksboro,,,344,233,282,1,0,860
TOTALS,,,"1,158",789,553,2,0,"2,502"
