City/Town,Ward,Pct,"Walter Freed",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Danby,,,527,10,0,537
Dorset,,,991,14,0,"1,005"
Landgrove,,,74,6,0,80
Peru,,,175,3,0,178
Winhall,,,384,8,0,392
TOTALS,,,"2,151",41,0,"2,192"
