City/Town,Ward,Pct,"Jim Masland","Mary Daly",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Fairlee,,,270,289,2,0,561
Thetford,,,962,506,4,0,"1,472"
"W. Fairlee",,,172,133,1,0,306
TOTALS,,,"1,404",928,7,0,"2,339"
