City/Town,Ward,Pct,"Lawrence E. Molloy","Gerald Woodard",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Arlington,,,700,524,6,0,"1,230"
Sandgate,,,87,91,1,0,179
Sunderland,,,249,199,0,0,448
TOTALS,,,"1,036",814,7,0,"1,857"
