City/Town,Ward,Pct,"Elizabeth M. Ready","John S. Hall","Peter Baker","Robin C. McKnight",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,"Liberty Union"
Waterville,,,151,117,12,10,0,0,290
Weathersfield,,,635,570,49,35,0,0,"1,289"
Wells,,,165,268,18,10,0,0,461
"W. Fairlee",,,127,132,12,17,0,0,288
"W. Haven",,,62,72,6,3,0,0,143
"W. Rutland",,,504,448,66,13,0,0,"1,031"
"W. Windsor",,,280,274,12,7,0,0,573
Westfield,,,113,137,7,4,0,0,261
Westford,,,595,332,12,14,0,0,953
Westminster,,,934,447,33,36,2,0,"1,452"
Westmore,,,98,123,3,2,0,0,226
Weston,,,155,166,12,5,0,0,338
Weybridge,,,276,212,10,2,1,0,501
Wheelock,,,99,167,10,7,0,0,283
Whiting,,,99,87,5,3,0,0,194
Whitingham,,,208,326,18,11,0,0,563
Williamstown,,,579,860,24,45,0,0,"1,508"
Williston,-,"Chittenden 5-1",466,303,12,4,1,0,786
Williston,-,"Chittenden 5-2","1,945","1,365",42,19,1,0,"3,372"
Wilmington,,,440,535,40,22,0,0,"1,037"
Windham,,,76,86,10,4,0,0,176
Windsor,,,905,581,53,26,0,0,"1,565"
Winhall,,,166,222,13,6,2,0,409
Winooski,-,Armory,676,286,11,8,1,0,982
Winooski,-,"St. Francis",978,379,33,20,4,0,"1,414"
Wolcott,,,329,245,17,14,0,0,605
Woodbury,,,252,169,27,4,0,0,452
Woodford,,,94,56,4,12,0,0,166
Woodstock,,,882,783,54,20,4,0,"1,743"
Worcester,,,278,205,15,8,0,0,506
TOTALS,,,"149,724","116,994","7,111","4,166",315,0,"278,310"
