City/Town,Ward,Pct,"Alice W. Nitka","Joseph Girouard","Hunter Melville",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian
Ludlow,,,675,524,37,1,0,"1,237"
Plymouth,,,147,143,44,0,0,334
Shrewsbury,,,346,286,14,1,0,647
TOTALS,,,"1,168",953,95,2,0,"2,218"
