City/Town,Ward,Pct,"Stephen W. Webster","Philip A. Angell, Jr","Mike Fiorillo","Richard W. Mallary",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Independent
Braintree,,,318,313,213,166,2,0,"1,012"
Brookfield,,,291,323,339,270,6,0,"1,229"
Randolph,,,"1,144","1,040",953,642,7,0,"3,786"
TOTALS,,,"1,753","1,676","1,505","1,078",15,0,"6,027"
