City/Town,Ward,Pct,"Dan K. Darrow","Doris A. Knechtel",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Brookline,,,120,129,0,0,249
Marlboro,,,422,127,3,0,552
Newfane,,,599,380,0,0,979
Townshend,,,341,245,0,0,586
TOTALS,,,"1,482",881,3,0,"2,366"
