City/Town,Ward,Pct,"Mark E. Woodward","Rebecca A. Machia","Melissa A. Robitille",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Independent,Constitution
Eden,,,201,242,34,3,0,480
Johnson,,,966,409,61,1,0,"1,437"
TOTALS,,,"1,167",651,95,4,0,"1,917"
