City/Town,Ward,Pct,"Jack W. Anderson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican
Reading,,,326,6,0,332
Woodstock,,,"1,637",58,0,"1,695"
TOTALS,,,"1,963",64,0,"2,027"
