City/Town,Ward,Pct,"Loren T. Shaw","Nancy J. Sheltra","Barbara Postman","Diane Moore",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic
Brownington,,,194,201,143,120,2,0,660
Charleston,,,268,268,156,129,1,0,822
Derby,,,"1,285","1,157",857,595,19,0,"3,913"
Holland,,,154,164,104,82,2,0,506
Morgan,,,200,197,120,123,0,0,640
TOTALS,,,"2,101","1,987","1,380","1,049",24,0,"6,541"
