City/Town,Ward,Pct,"Stephanie A. Bourdeau","Jan Roy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Hyde Park",,,826,597,3,0,"1,426"
Wolcott,,,307,325,0,0,632
TOTALS,,,"1,133",922,3,0,"2,058"
