City/Town,Ward,Pct,"Craig Scribner, Sr","Bill Wisell",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bristol,,,903,764,1,0,"1,668"
TOTALS,,,903,764,1,0,"1,668"
