City/Town,Ward,Pct,"Johannah Leddy Donovan","Bill Keogh","Marget Brue","Richard Kemp","Jane A. Van Buren","Rachel Nevitt","Ian C. Parker",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Progressive,Independent,Progressive,"Vermont Grassroots"
Burlington,-,"Chittenden 7-1 Ward 5","1,186","1,073",894,792,511,177,89,17,0,"4,739"
Burlington,-,"Chittenden 7-1 Ward 6",498,338,238,305,217,107,70,6,0,"1,779"
TOTALS,,,"1,684","1,411","1,132","1,097",728,284,159,23,0,"6,518"
