City/Town,Ward,Pct,"Michael J. Obuchowski","Carolyn W. Partridge","Edward S. Soboleski","George M. Kuusela",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Independent,Republican
Grafton,,,161,127,132,195,1,0,616
Rockingham,,,"1,393",973,960,763,5,0,"4,094"
Springfield,,,418,282,290,284,6,0,"1,280"
Windham,,,95,101,53,91,0,0,340
TOTALS,,,"2,067","1,483","1,435","1,333",12,0,"6,330"
