City/Town,Ward,Pct,"Maxine Grad","Bill Cleland","Alan H. Weiss","Brian Lacount",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Democratic,Republican
Moretown,,,596,255,392,386,5,0,"1,634"
Northfield,,,"1,015","1,236","1,060",831,2,0,"4,144"
Roxbury,,,161,156,182,107,0,0,606
TOTALS,,,"1,772","1,647","1,634","1,324",7,0,"6,384"
