City/Town,Ward,Pct,"Michael Reese","David N. Johnson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Barnard,,,237,332,0,0,569
Hartford,,,523,538,6,0,"1,067"
Pomfret,,,362,217,1,0,580
TOTALS,,,"1,122","1,087",7,0,"2,216"
