City/Town,Ward,Pct,"Rick Hube","John Moran",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Dover,,,431,226,1,0,658
Jamaica,,,285,152,1,0,438
Londonderry,,,616,261,2,0,879
Stratton,,,80,17,0,0,97
Wardsboro,,,195,181,0,0,376
TOTALS,,,"1,607",837,4,0,"2,448"
