City/Town,Ward,Pct,"Robert A. Starr","Georgia ""gee-Gee"" Zaveson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Independent
Jay,,,151,46,0,0,197
Lowell,,,264,54,4,0,322
Montgomery,,,388,101,0,0,489
Troy,,,443,133,3,0,579
Westfield,,,209,54,3,0,266
TOTALS,,,"1,455",388,10,0,"1,853"
