City/Town,Ward,Pct,"Harvey Smith","Spencer C. Putnam",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Cornwall,,,311,371,2,0,684
Middlebury,,,1,15,0,0,16
"New Haven",,,596,309,1,0,906
Weybridge,,,245,266,1,0,512
TOTALS,,,"1,153",961,4,0,"2,118"
