City/Town,Ward,Pct,"Ward Mann","Judith Lashof",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Goshen,,,63,57,0,0,120
Hancock,,,105,75,0,0,180
Leicester,,,342,134,2,0,478
Ripton,,,122,172,0,0,294
Salisbury,,,337,188,0,0,525
Sudbury,,,159,145,4,0,308
Whiting,,,123,72,0,0,195
TOTALS,,,"1,251",843,6,0,"2,100"
