City/Town,Ward,Pct,"Kristin H. Sohlstrom","John G. Santorello",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"Barre City",,,178,174,4,172,528
TOTALS,,,178,174,4,172,528
