City/Town,Ward,Pct,"Scott Milne","Steve Berry","Emily Peyton",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Addison,,,51,6,4,13,7,81
Albany,,,32,5,6,10,0,53
Alburgh,,,66,12,2,13,7,100
Andover,,,9,4,1,4,0,18
Arlington,,,31,4,6,4,2,47
Athens,,,9,1,2,1,0,13
Bakersfield,,,18,3,1,4,1,27
Baltimore,,,6,0,0,0,0,6
Barnard,,,40,0,0,1,1,42
Barnet,,,117,20,13,13,27,190
"Barre City",,,226,13,6,16,3,264
"Barre Town",,,274,10,2,16,2,304
Barton,,,87,6,7,12,9,121
Belvidere,,,8,2,0,0,1,11
Bennington,-,"Bennington 2-1",49,13,14,9,11,96
Bennington,-,"Bennington 2-2",50,13,26,6,17,112
Benson,,,17,1,4,2,0,24
Berkshire,,,27,2,2,5,0,36
Berlin,,,76,2,2,8,0,88
Bethel,,,30,2,2,4,0,38
Bloomfield,,,10,5,5,0,1,21
Bolton,,,11,1,3,13,0,28
Bradford,,,36,1,0,2,0,39
Braintree,,,30,1,1,2,1,35
Brandon,,,288,21,23,37,23,392
Brattleboro,-,"Windham 2-1",17,4,4,1,0,26
Brattleboro,-,"Windham 2-2",19,1,6,1,0,27
Brattleboro,-,"Windham 2-3",14,1,3,0,0,18
Bridgewater,,,16,0,1,0,1,18
Bridport,,,33,2,3,12,2,52
Brighton,,,113,17,37,4,30,201
Bristol,,,51,2,1,11,0,65
Brookfield,,,27,3,1,2,2,35
Brookline,,,3,1,1,0,1,6
Brownington,,,80,13,7,3,16,119
Brunswick,,,5,3,0,1,2,11
Burke,,,27,2,0,8,5,42
Burlington,-,"Chittenden 6-1",209,15,16,51,21,312
Burlington,-,"Chittenden 6-2",82,3,6,24,5,120
Burlington,-,"Chittenden 6-3",16,4,5,10,0,35
Burlington,-,"Chittenden 6-4",22,5,3,5,0,35
Burlington,-,"Chittenden 6-5",63,6,5,24,5,103
Burlington,-,"Chittenden 6-6",8,3,0,0,2,13
Burlington,-,"Chittenden 6-7",0,0,0,1,0,1
Cabot,,,19,1,1,4,0,25
Calais,,,28,0,2,2,3,35
Cambridge,,,49,2,3,19,4,77
Canaan,,,40,7,10,4,12,73
Castleton,,,131,12,10,7,16,176
Cavendish,,,53,6,11,8,1,79
Charleston,,,40,4,1,1,4,50
Charlotte,,,48,2,4,13,2,69
Chelsea,,,49,1,3,2,1,56
Chester,,,46,6,1,9,0,62
Chittenden,,,33,1,5,6,0,45
Clarendon,,,35,5,1,6,2,49
Colchester,-,"Chittenden 9-1",80,2,3,61,1,147
Colchester,-,"Chittenden 9-2",159,4,8,80,9,260
Concord,,,32,14,6,7,5,64
Corinth,,,13,4,2,6,3,28
Cornwall,,,31,1,2,4,1,39
Coventry,,,60,7,3,6,17,93
Craftsbury,,,15,1,1,9,1,27
Danby,,,45,3,2,0,1,51
Danville,,,75,12,5,4,9,105
Derby,,,284,27,32,25,49,417
Dorset,,,40,6,3,6,13,68
Dover,,,16,3,3,1,0,23
Dummerston,,,22,1,1,1,0,25
Duxbury,,,28,2,4,9,2,45
"E. Haven",,,7,4,8,0,3,22
"E. Montpelier",,,54,2,7,9,3,75
Eden,,,19,3,2,5,1,30
Elmore,,,16,5,0,8,0,29
Enosburgh,,,58,5,6,4,8,81
Essex,-,"Chittenden 8-1",86,4,2,80,6,178
Essex,-,"Chittenden 8-2",89,7,3,112,6,217
Essex,-,"Chittenden 8-3",15,1,3,33,0,52
"Fair Haven",,,81,14,9,6,15,125
Fairfax,,,88,4,17,35,14,158
Fairfield,,,33,1,1,4,2,41
Fairlee,,,19,1,1,2,0,23
Fayston,,,12,1,2,4,1,20
Ferrisburgh,,,61,1,1,19,2,84
Fletcher,,,14,0,1,4,0,19
Franklin,,,32,4,3,10,4,53
Georgia,,,64,7,8,36,4,119
Glover,,,30,5,5,4,2,46
Goshen,,,11,4,0,0,0,15
Grafton,,,8,5,3,1,0,17
Granby,,,9,3,1,0,2,15
"Grand Isle",,,68,4,2,33,3,110
Granville,,,8,0,0,0,0,8
Greensboro,,,8,1,4,5,2,20
Groton,,,48,6,1,3,6,64
Guildhall,,,23,5,6,5,8,47
Guilford,,,23,2,4,1,0,30
Halifax,,,16,6,4,1,0,27
Hancock,,,4,0,1,0,0,5
Hardwick,,,35,1,1,2,2,41
Hartford,-,"Windsor 4-1",24,1,2,3,1,31
Hartford,-,"Windsor 4-2",71,4,4,4,4,87
Hartland,,,42,2,4,0,1,49
