City/Town,Ward,Pct,"Donna Sweaney","John Bartholomew",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Hartland,,,58,62,0,27,147
"W. Windsor",,,22,21,0,9,52
Windsor,,,48,41,0,11,100
TOTALS,,,128,124,0,47,299
