City/Town,Ward,Pct,"Mark Donka","Donald Russell","Donald W. Nolte",Write-Ins,Blanks,"Total Votes Cast"
Newbury,,,22,8,11,2,9,52
Newfane,,,8,3,7,1,4,23
"Newport City",,,25,24,207,26,65,347
"Newport Town",,,5,1,61,3,22,92
"N. Hero",,,9,21,10,3,26,69
Northfield,,,28,25,19,3,40,115
Norton,,,6,1,9,3,12,31
Norwich,,,16,4,0,0,6,26
Orange,,,18,8,8,4,10,48
Orwell,,,10,14,11,4,11,50
Panton,,,3,14,4,1,3,25
Pawlet,,,29,32,16,1,57,135
Peacham,,,5,7,6,1,10,29
Peru,,,2,2,3,1,5,13
Pittsfield,,,9,3,0,0,3,15
Pittsford,,,17,24,14,4,20,79
Plainfield,,,3,4,0,1,12,20
Plymouth,,,17,0,1,3,0,21
Pomfret,,,19,2,1,1,10,33
Poultney,,,26,16,13,0,11,66
Pownal,,,9,16,7,1,11,44
Proctor,,,1,7,2,0,5,15
Putney,,,7,3,2,2,4,18
Randolph,,,56,26,25,3,21,131
Reading,,,7,5,0,0,5,17
Readsboro,,,4,3,1,1,3,12
Richford,,,4,4,13,2,11,34
Richmond,,,26,47,13,0,27,113
Ripton,,,1,4,1,2,3,11
Rochester,,,16,1,2,4,10,33
Rockingham,,,30,6,3,0,9,48
Roxbury,,,13,5,2,1,13,34
Royalton,,,20,1,4,2,7,34
Rupert,,,12,15,8,0,21,56
"Rutland City",-,"Rutland 5-1",29,29,14,5,33,110
"Rutland City",-,"Rutland 5-2",25,42,4,5,24,100
"Rutland City",-,"Rutland 5-3",15,15,4,1,5,40
"Rutland City",-,"Rutland 5-4",25,20,3,5,19,72
"Rutland Town",,,32,61,26,2,50,171
Ryegate,,,20,5,24,4,26,79
Salisbury,,,5,6,3,0,3,17
Sandgate,,,2,3,3,0,3,11
Searsburg,,,1,2,3,0,1,7
Shaftsbury,,,14,7,13,3,12,49
Sharon,,,22,1,0,0,8,31
Sheffield,,,3,2,9,1,2,17
Shelburne,-,"Chittenden 5-1",14,88,4,5,15,126
Shelburne,-,"Chittenden 5-2",7,63,0,3,18,91
Sheldon,,,7,7,7,9,9,39
Shoreham,,,15,15,4,0,24,58
Shrewsbury,,,9,12,8,4,11,44
"S. Burlington",-,"Chittenden 7-1",7,35,2,8,28,80
"S. Burlington",-,"Chittenden 7-2",17,41,7,2,17,84
"S. Burlington",-,"Chittenden 7-3",15,27,4,4,6,56
"S. Burlington",-,"Chittenden 7-4",14,60,12,4,19,109
"S. Hero",,,11,29,8,2,16,66
