City/Town,Ward,Pct,"Dennis J. Devereux",Write-Ins,Blanks,"Total Votes Cast"
,,,
Ludlow,,,32,1,10,43
"Mount Holly",,,31,1,7,39
Shrewsbury,,,38,1,6,45
TOTALS,,,101,3,23,127
