City/Town,Ward,Pct,"Janet Ancel",Write-Ins,Blanks,"Total Votes Cast"
,,,
Calais,,,48,1,4,53
Marshfield,,,37,0,5,42
Plainfield,,,36,1,4,41
TOTALS,,,121,2,13,136
