City/Town,Ward,Pct,"Mitzi Johnson","Robert C. Krebs",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,129,93,11,129,362
"Grand Isle",,,165,147,36,144,492
"Isle La Motte",,,38,42,6,42,128
Milton,,,17,14,0,11,42
"N. Hero",,,83,86,7,80,256
"S. Hero",,,189,202,11,97,499
TOTALS,,,621,584,71,503,"1,779"
