City/Town,Ward,Pct,"Benjamin Bosley",Write-Ins,Blanks,"Total Votes Cast"
,,,
Colchester,-,"Chittenden 9-1",1,0,0,1
Colchester,-,"Chittenden 9-2",0,0,1,1
"Grand Isle",-,"Grand Isle-Chittenden",1,0,4,0
"N. Hero",-,"Grand Isle-Chittenden",3,1,2,0
TOTALS,,,5,1,7,13
