City/Town,Ward,Pct,"Harvey Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridport,,,40,0,12,52
"New Haven",,,40,0,13,53
Weybridge,,,26,1,5,32
TOTALS,,,106,1,30,137
