City/Town,Ward,Pct,"Jeremy Hansen","Marvin Malek",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Berlin,,,50,37,8,35,130
Northfield,,,35,28,4,39,106
TOTALS,,,85,65,12,74,236
