City/Town,Ward,Pct,"Valerie Legh Harriss","Eric J. Mach",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"Middletown Springs",,,37,11,0,3,51
Pawlet,,,61,72,1,1,135
Rupert,,,34,19,0,3,56
Tinmouth,,,6,7,0,1,14
Wells,,,61,10,0,0,71
TOTALS,,,199,119,1,8,327
